"","family","genus","species","taxonomic.rank","taxon","LME","FAO","habitat","reference.habitat","feeding.mode","reference.feeding.mode","tl","level.tl","reference.tl","body.shape","fin.shape","AR","level.AR","reference.AR","offspring.size","level.offspring.size","reference.offspring.size","spawning.type","reference.spawning.type","age.maturity","level.age.maturity","reference.age.maturity","fecundity","level.fecundity","reference.fecundity","length.infinity","growth.coefficient","level.growth","reference.growth","length.max","level.length.max","reference.length.max","age.max","level.age.max","reference.age.max"
"1953","Gadidae","Pollachius","pollachius","S","Pollachius pollachius",22,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.32,"spe","FroesePauly2018","fusiform","truncate",1.34,"spe","FroesePauly2018",1.16,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.5,"spe-ocean","FroesePauly2019",4535500,"gen-ocean","FroesePauly2018",86,0.19,"spe-FAO","FroesePauly2018",130,"spe","FroesePauly2018",15,"spe","FroesePauly2018"
"1954","Gadidae","Pollachius","pollachius","S","Pollachius pollachius",23,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.32,"spe","FroesePauly2018","fusiform","truncate",1.34,"spe","FroesePauly2018",1.16,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.5,"spe-ocean","FroesePauly2019",4535500,"gen-ocean","FroesePauly2018",86,0.19,"spe-FAO","FroesePauly2018",130,"spe","FroesePauly2018",15,"spe","FroesePauly2018"
"1955","Gadidae","Pollachius","pollachius","S","Pollachius pollachius",24,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.32,"spe","FroesePauly2018","fusiform","truncate",1.34,"spe","FroesePauly2018",1.16,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.5,"spe-ocean","FroesePauly2019",4535500,"gen-ocean","FroesePauly2018",86,0.19,"spe-LME","FroesePauly2018",130,"spe","FroesePauly2018",15,"spe","FroesePauly2018"
"1956","Gadidae","Pollachius","pollachius","S","Pollachius pollachius",25,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.32,"spe","FroesePauly2018","fusiform","truncate",1.34,"spe","FroesePauly2018",1.16,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.5,"spe-ocean","FroesePauly2019",4535500,"gen-ocean","FroesePauly2018",86,0.19,"spe-FAO","FroesePauly2018",130,"spe","FroesePauly2018",15,"spe","FroesePauly2018"
"1982","Gadidae","Trisopterus","luscus","S","Trisopterus luscus",21,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.57,"genus","FroesePauly2018","fusiform","truncate",0.88,"spe","FroesePauly2018",1.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1.5,"spe-ocean","FroesePauly2019",521738,"spe-ocean","FroesePauly2018",46,0.47,"spe-FAO","FroesePauly2018",46,"spe-FAO","FroesePauly2018",6,"spe","Heessen2015"
"1983","Gadidae","Trisopterus","luscus","S","Trisopterus luscus",22,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.57,"genus","FroesePauly2018","fusiform","truncate",0.88,"spe","FroesePauly2018",1.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1.5,"spe-ocean","FroesePauly2019",521738,"spe-ocean","FroesePauly2018",46,0.47,"spe-FAO","FroesePauly2018",46,"spe-FAO","FroesePauly2018",6,"spe","Heessen2015"
"1984","Gadidae","Trisopterus","luscus","S","Trisopterus luscus",23,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.57,"genus","FroesePauly2018","fusiform","truncate",0.88,"spe","FroesePauly2018",1.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1.5,"spe-ocean","FroesePauly2019",521738,"spe-ocean","FroesePauly2018",46,0.47,"spe-FAO","FroesePauly2018",46,"spe-FAO","FroesePauly2018",6,"spe","Heessen2015"
"1985","Gadidae","Trisopterus","luscus","S","Trisopterus luscus",24,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.57,"genus","FroesePauly2018","fusiform","truncate",0.88,"spe","FroesePauly2018",1.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1.5,"spe-ocean","FroesePauly2019",521738,"spe-ocean","FroesePauly2018",46,0.47,"spe-FAO","FroesePauly2018",46,"spe-FAO","FroesePauly2018",6,"spe","Heessen2015"
"1986","Gadidae","Trisopterus","luscus","S","Trisopterus luscus",25,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.57,"genus","FroesePauly2018","fusiform","truncate",0.88,"spe","FroesePauly2018",1.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1.5,"spe-ocean","FroesePauly2019",521738,"spe-ocean","FroesePauly2018",46,0.47,"spe-LME","FroesePauly2018",46,"spe-LME","FroesePauly2018",6,"spe","Heessen2015"
"1987","Gadidae","Trisopterus","luscus","S","Trisopterus luscus",26,37,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.57,"genus","FroesePauly2018","fusiform","truncate",0.88,"spe","FroesePauly2018",1.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1.5,"spe-ocean","FroesePauly2019",521738,"spe-ocean","FroesePauly2018",42,0.21,"spe-FAO","FroesePauly2018",46,"spe-LME","FroesePauly2018",6,"spe","Heessen2015"
"1988","Gadidae","Trisopterus","minutus","S","Trisopterus minutus",20,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.73,"spe","FroesePauly2018","fusiform","truncate",0.86,"spe","FroesePauly2018",1.04,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",363667,"gen-ocean","FroesePauly2018",21,0.44,"spe-FAO","FroesePauly2018",24,"spe-FAO","FroesePauly2018",8,"spe","Heessen2015"
"1989","Gadidae","Trisopterus","minutus","S","Trisopterus minutus",21,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.73,"spe","FroesePauly2018","fusiform","truncate",0.86,"spe","FroesePauly2018",1.04,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",363667,"gen-ocean","FroesePauly2018",21,0.44,"spe-FAO","FroesePauly2018",24,"spe-FAO","FroesePauly2018",8,"spe","Heessen2015"
"1990","Gadidae","Trisopterus","minutus","S","Trisopterus minutus",22,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.73,"spe","FroesePauly2018","fusiform","truncate",0.86,"spe","FroesePauly2018",1.04,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",363667,"gen-ocean","FroesePauly2018",20,0.51,"spe-LME","FroesePauly2018",24,"spe-FAO","FroesePauly2018",8,"spe","Heessen2015"
"1991","Gadidae","Trisopterus","minutus","S","Trisopterus minutus",23,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.73,"spe","FroesePauly2018","fusiform","truncate",0.86,"spe","FroesePauly2018",1.04,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",363667,"gen-ocean","FroesePauly2018",21,0.44,"spe-FAO","FroesePauly2018",24,"spe-FAO","FroesePauly2018",8,"spe","Heessen2015"
"1992","Gadidae","Trisopterus","minutus","S","Trisopterus minutus",24,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.73,"spe","FroesePauly2018","fusiform","truncate",0.86,"spe","FroesePauly2018",1.04,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",363667,"gen-ocean","FroesePauly2018",22,0.41,"spe-LME","FroesePauly2018",24,"spe-FAO","FroesePauly2018",8,"spe","Heessen2015"
"1993","Gadidae","Trisopterus","minutus","S","Trisopterus minutus",25,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.73,"spe","FroesePauly2018","fusiform","truncate",0.86,"spe","FroesePauly2018",1.04,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",363667,"gen-ocean","FroesePauly2018",21,0.44,"spe-FAO","FroesePauly2018",24,"spe-LME","FroesePauly2018",8,"spe","Heessen2015"
"2011","Gasterosteidae","Spinachia","spinachia","S","Spinachia spinachia",20,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.5,"spe","FroesePauly2018","elongated","rounded",1.6,"spe","FroesePauly2018",1.96,"spe","FroesePauly2018","guarder","FroesePauly2018",1,"spe-ocean","FroesePauly2019",432,"fam-ocean","FroesePauly2018",6,2.23,"fam-FAO","FroesePauly2018",16,"spe-FAO","FroesePauly2018",1,"spe","Heessen2015"
"2012","Gasterosteidae","Spinachia","spinachia","S","Spinachia spinachia",22,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.5,"spe","FroesePauly2018","elongated","rounded",1.6,"spe","FroesePauly2018",1.96,"spe","FroesePauly2018","guarder","FroesePauly2018",1,"fam","FroesePauly2019",346,"fam-LME","FroesePauly2018",7,2.32,"fam-LME","FroesePauly2018",16,"spe-LME","FroesePauly2018",1,"spe","Heessen2015"
"2013","Gasterosteidae","Spinachia","spinachia","S","Spinachia spinachia",23,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.5,"spe","FroesePauly2018","elongated","rounded",1.6,"spe","FroesePauly2018",1.96,"spe","FroesePauly2018","guarder","FroesePauly2018",1,"fam","FroesePauly2019",346,"fam-LME","FroesePauly2018",7,1.79,"fam-LME","FroesePauly2018",16,"spe-LME","FroesePauly2018",1,"spe","Heessen2015"
"2014","Gasterosteidae","Spinachia","spinachia","S","Spinachia spinachia",24,27,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.5,"spe","FroesePauly2018","elongated","rounded",1.6,"spe","FroesePauly2018",1.96,"spe","FroesePauly2018","guarder","FroesePauly2018",1,"fam","FroesePauly2019",346,"fam-LME","FroesePauly2018",7,1.79,"fam-LME","FroesePauly2018",16,"spe-FAO","FroesePauly2018",1,"spe","Heessen2015"
"2045","Gobiesocidae","Apletodon","dentatus","S","Apletodon dentatus",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.1,"spe","FroesePauly2018","eel-like","pointed",0.4,"fam","FroesePauly2018",1.5,"fam","FroesePauly2018","guarder","FroesePauly2018",NA,"","",195,"fam-ocean","FroesePauly2018",4,0.79,"fam-ocean","FroesePauly2018",4,"spe","FroesePauly2018",1,"spe","Heessen2015"
"2046","Gobiesocidae","Apletodon","dentatus","S","Apletodon dentatus",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.1,"spe","FroesePauly2018","eel-like","pointed",0.4,"fam","FroesePauly2018",1.5,"fam","FroesePauly2018","guarder","FroesePauly2018",NA,"","",195,"fam-ocean","FroesePauly2018",4,0.79,"fam-ocean","FroesePauly2018",4,"spe","FroesePauly2018",1,"spe","Heessen2015"
"2055","Gobiesocidae","Lepadogaster","","G","Lepadogaster",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","inferred from genus",2.78,"genus","FroesePauly2018","fusiform","rounded",0.82,"fam","FroesePauly2018",1.53,"gen","FroesePauly2018","guarder","Tojeira2012",NA,"","",195,"fam-ocean","FroesePauly2018",4,0.79,"fam-ocean","FroesePauly2018",7,"gen","FroesePauly2018",5,"gen","Heessen2015"
"2134","Gobiidae","","","F","Gobiidae",5,31,"demersal","FroesePauly2018, OBIS2018","benthivorous","inferred from family",3.11,"family","FroesePauly2018","fusiform","rounded",0.8,"fam","FroesePauly2018",1.04,"fam","FroesePauly2018","guarder","inferred from family",1.2,"fam-ocean","FroesePauly2019",14445,"fam-ocean","FroesePauly2018",9,0.74,"fam-FAO","FroesePauly2018",11,"fam-LME","FroesePauly2018",5,"fam-FAO","FroesePauly2018"
"2135","Gobiidae","","","F","Gobiidae",7,21,"demersal","FroesePauly2018, OBIS2018","benthivorous","inferred from family",3.11,"family","FroesePauly2018","fusiform","rounded",0.8,"fam","FroesePauly2018",1.04,"fam","FroesePauly2018","guarder","inferred from family",1.2,"fam-ocean","FroesePauly2019",14445,"fam-ocean","FroesePauly2018",10,1.12,"fam-FAO","FroesePauly2018",9,"fam-LME","FroesePauly2018",5,"fam-FAO","FroesePauly2018"
"2136","Gobiidae","","","F","Gobiidae",20,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","inferred from family",3.11,"family","FroesePauly2018","fusiform","rounded",0.8,"fam","FroesePauly2018",1.04,"fam","FroesePauly2018","guarder","inferred from family",1.2,"fam-ocean","FroesePauly2019",14445,"fam-ocean","FroesePauly2018",12,0.48,"fam-FAO","FroesePauly2018",12,"fam-FAO","FroesePauly2018",2.8,"fam-FAO","FroesePauly2018"
"2137","Gobiidae","","","F","Gobiidae",21,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","inferred from family",3.11,"family","FroesePauly2018","fusiform","rounded",0.8,"fam","FroesePauly2018",1.04,"fam","FroesePauly2018","guarder","inferred from family",1.2,"fam-ocean","FroesePauly2019",14445,"fam-ocean","FroesePauly2018",12,0.48,"fam-FAO","FroesePauly2018",12,"fam-FAO","FroesePauly2018",2.8,"fam-FAO","FroesePauly2018"
"2138","Gobiidae","","","F","Gobiidae",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","inferred from family",3.11,"family","FroesePauly2018","fusiform","rounded",0.8,"fam","FroesePauly2018",1.04,"fam","FroesePauly2018","guarder","inferred from family",1.2,"fam-ocean","FroesePauly2019",14445,"fam-ocean","FroesePauly2018",12,0.48,"fam-FAO","FroesePauly2018",30,"fam-LME","FroesePauly2018",2.8,"fam-FAO","FroesePauly2018"
"2139","Gobiidae","","","F","Gobiidae",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","inferred from family",3.11,"family","FroesePauly2018","fusiform","rounded",0.8,"fam","FroesePauly2018",1.04,"fam","FroesePauly2018","guarder","inferred from family",1.2,"fam-ocean","FroesePauly2019",14445,"fam-ocean","FroesePauly2018",12,0.48,"fam-FAO","FroesePauly2018",23,"fam-LME","FroesePauly2018",2.8,"fam-FAO","FroesePauly2018"
"2140","Gobiidae","","","F","Gobiidae",25,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","inferred from family",3.11,"family","FroesePauly2018","fusiform","rounded",0.8,"fam","FroesePauly2018",1.04,"fam","FroesePauly2018","guarder","inferred from family",1.2,"fam-ocean","FroesePauly2019",14445,"fam-ocean","FroesePauly2018",12,0.48,"fam-FAO","FroesePauly2018",7,"fam-LME","FroesePauly2018",2.8,"fam-FAO","FroesePauly2018"
"2342","Labridae","Labrus","bergylta","S","Labrus bergylta",22,27,"reef-associated","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.2,"spe","FroesePauly2018","fusiform","rounded",1.38,"spe","FroesePauly2018",1,"spe","FroesePauly2018","guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",160631,"fam-ocean","FroesePauly2018",43,0.13,"spe-LME","FroesePauly2018",51,"spe-LME","FroesePauly2018",9,"spe","FroesePauly2018"
"2343","Labridae","Labrus","bergylta","S","Labrus bergylta",23,27,"reef-associated","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.2,"spe","FroesePauly2018","fusiform","rounded",1.38,"spe","FroesePauly2018",1,"spe","FroesePauly2018","guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",160631,"fam-ocean","FroesePauly2018",49,0.12,"spe-FAO","FroesePauly2018",51,"spe-FAO","FroesePauly2018",9,"spe","FroesePauly2018"
"2344","Labridae","Labrus","bergylta","S","Labrus bergylta",24,27,"reef-associated","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.2,"spe","FroesePauly2018","fusiform","rounded",1.38,"spe","FroesePauly2018",1,"spe","FroesePauly2018","guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",160631,"fam-ocean","FroesePauly2018",59,0.11,"spe-LME","FroesePauly2018",51,"spe-LME","FroesePauly2018",9,"spe","FroesePauly2018"
"2345","Labridae","Labrus","bergylta","S","Labrus bergylta",25,27,"reef-associated","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.2,"spe","FroesePauly2018","fusiform","rounded",1.38,"spe","FroesePauly2018",1,"spe","FroesePauly2018","guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",160631,"fam-ocean","FroesePauly2018",49,0.12,"spe-FAO","FroesePauly2018",51,"spe-FAO","FroesePauly2018",9,"spe","FroesePauly2018"
"2545","Liparidae","Liparis","montagui","S","Liparis montagui",20,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.45,"spe","FroesePauly2018","elongated","rounded",0.77,"gen","FroesePauly2018",1.11,"spe","Christiansen1998","non-guarder","FroesePauly2018",1,"spe","Heessen2016",700,"spe","Pecuchet2017",13,0.68,"gen-ocean","FroesePauly2018",12,"spe","FroesePauly2018",2,"spe","Heessen2015"
"2546","Liparidae","Liparis","montagui","S","Liparis montagui",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.45,"spe","FroesePauly2018","elongated","rounded",0.77,"gen","FroesePauly2018",1.11,"spe","Christiansen1998","non-guarder","FroesePauly2018",1,"spe","Heessen2016",700,"spe","Pecuchet2017",13,0.68,"gen-ocean","FroesePauly2018",12,"spe","FroesePauly2018",2,"spe","Heessen2015"
"2547","Liparidae","Liparis","montagui","S","Liparis montagui",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.45,"spe","FroesePauly2018","elongated","rounded",0.77,"gen","FroesePauly2018",1.11,"spe","Christiansen1998","non-guarder","FroesePauly2018",1,"spe","Heessen2016",700,"spe","Pecuchet2017",13,0.68,"gen-ocean","FroesePauly2018",12,"spe","FroesePauly2018",2,"spe","Heessen2015"
"2548","Liparidae","Liparis","montagui","S","Liparis montagui",59,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.45,"spe","FroesePauly2018","elongated","rounded",0.77,"gen","FroesePauly2018",1.11,"spe","Christiansen1998","non-guarder","FroesePauly2018",1,"spe","Heessen2016",700,"spe","Pecuchet2017",13,0.68,"gen-ocean","FroesePauly2018",12,"spe","FroesePauly2018",2,"spe","Heessen2015"
"2673","Lotidae","Ciliata","mustela","S","Ciliata mustela",22,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.5,"spe","FroesePauly2018","elongated","rounded",1,"spe","FroesePauly2018",0.82,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1,"spe","FroesePauly2019",19500,"spe-ocean","FroesePauly2018",99,0.08,"fam-LME","FroesePauly2018",25,"spe","FroesePauly2018",3,"spe","FroesePauly2018"
"2674","Lotidae","Ciliata","mustela","S","Ciliata mustela",23,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.5,"spe","FroesePauly2018","elongated","rounded",1,"spe","FroesePauly2018",0.82,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1,"spe","FroesePauly2019",19500,"spe-ocean","FroesePauly2018",77,0.14,"fam-LME","FroesePauly2018",25,"spe","FroesePauly2018",3,"spe","FroesePauly2018"
"2675","Lotidae","Ciliata","mustela","S","Ciliata mustela",24,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.5,"spe","FroesePauly2018","elongated","rounded",1,"spe","FroesePauly2018",0.82,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1,"spe","FroesePauly2019",19500,"spe-ocean","FroesePauly2018",102,0.11,"fam-FAO","FroesePauly2018",25,"spe","FroesePauly2018",3,"spe","FroesePauly2018"
"2676","Lotidae","Ciliata","mustela","S","Ciliata mustela",59,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.5,"spe","FroesePauly2018","elongated","rounded",1,"spe","FroesePauly2018",0.82,"spe","FroesePauly2018","non-guarder","FroesePauly2018",1,"spe","FroesePauly2019",19500,"spe-ocean","FroesePauly2018",102,0.11,"fam-FAO","FroesePauly2018",25,"spe","FroesePauly2018",3,"spe","FroesePauly2018"
"3028","Moronidae","Dicentrarchus","labrax","S","Dicentrarchus labrax",21,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.47,"spe","FroesePauly2018","fusiform","truncate",1.22,"spe","FroesePauly2018",1.3,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe-ocean","FroesePauly2019",520228,"spe-ocean","FroesePauly2018",74,0.09,"spe-LME","FroesePauly2018",85,"spe-FAO","FroesePauly2018",30,"spe","FroesePauly2018"
"3029","Moronidae","Dicentrarchus","labrax","S","Dicentrarchus labrax",22,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.47,"spe","FroesePauly2018","fusiform","truncate",1.22,"spe","FroesePauly2018",1.3,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe-ocean","FroesePauly2019",520228,"spe-ocean","FroesePauly2018",74,0.09,"spe-LME","FroesePauly2018",85,"spe-LME","FroesePauly2018",30,"spe","FroesePauly2018"
"3030","Moronidae","Dicentrarchus","labrax","S","Dicentrarchus labrax",23,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.47,"spe","FroesePauly2018","fusiform","truncate",1.22,"spe","FroesePauly2018",1.3,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe-ocean","FroesePauly2019",520228,"spe-ocean","FroesePauly2018",72,0.11,"spe-FAO","FroesePauly2018",85,"spe-FAO","FroesePauly2018",30,"spe","FroesePauly2018"
"3031","Moronidae","Dicentrarchus","labrax","S","Dicentrarchus labrax",24,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.47,"spe","FroesePauly2018","fusiform","truncate",1.22,"spe","FroesePauly2018",1.3,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe-ocean","FroesePauly2019",520228,"spe-ocean","FroesePauly2018",71,0.14,"spe-LME","FroesePauly2018",76,"spe-LME","FroesePauly2018",30,"spe","FroesePauly2018"
"3032","Moronidae","Dicentrarchus","labrax","S","Dicentrarchus labrax",25,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.47,"spe","FroesePauly2018","fusiform","truncate",1.22,"spe","FroesePauly2018",1.3,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe-ocean","FroesePauly2019",520228,"spe-ocean","FroesePauly2018",72,0.11,"spe-FAO","FroesePauly2018",85,"spe-FAO","FroesePauly2018",30,"spe","FroesePauly2018"
"3033","Moronidae","Dicentrarchus","labrax","S","Dicentrarchus labrax",26,37,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.47,"spe","FroesePauly2018","fusiform","truncate",1.22,"spe","FroesePauly2018",1.3,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3,"spe-ocean","FroesePauly2019",520228,"spe-ocean","FroesePauly2018",73,0.16,"spe-FAO","FroesePauly2018",103,"spe-LME","FroesePauly2018",30,"spe","FroesePauly2018"
"3065","Mullidae","Mullus","surmuletus","S","Mullus surmuletus",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.45,"spe","FroesePauly2018","fusiform","forked",1.38,"spe","FroesePauly2018",0.87,"spe","FroesePauly2018","non-guarder","Heessen2015",1.5,"spe-ocean","FroesePauly2019",20362,"gen","FroesePauly2018",53,0.18,"spe-LME","FroesePauly2018",40,"spe-FAO","FroesePauly2018",11,"spe","FroesePauly2018"
"3066","Mullidae","Mullus","surmuletus","S","Mullus surmuletus",23,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.45,"spe","FroesePauly2018","fusiform","forked",1.38,"spe","FroesePauly2018",0.87,"spe","FroesePauly2018","non-guarder","Heessen2015",1.5,"spe-ocean","FroesePauly2019",20362,"gen","FroesePauly2018",53,0.18,"spe-FAO","FroesePauly2018",40,"spe-FAO","FroesePauly2018",11,"spe","FroesePauly2018"
"3067","Mullidae","Mullus","surmuletus","S","Mullus surmuletus",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.45,"spe","FroesePauly2018","fusiform","forked",1.38,"spe","FroesePauly2018",0.87,"spe","FroesePauly2018","non-guarder","Heessen2015",1.5,"spe-ocean","FroesePauly2019",20362,"gen","FroesePauly2018",53,0.18,"spe-FAO","FroesePauly2018",40,"spe-FAO","FroesePauly2018",11,"spe","FroesePauly2018"
"3068","Mullidae","Mullus","surmuletus","S","Mullus surmuletus",25,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.45,"spe","FroesePauly2018","fusiform","forked",1.38,"spe","FroesePauly2018",0.87,"spe","FroesePauly2018","non-guarder","Heessen2015",1.5,"spe-ocean","FroesePauly2019",20362,"gen","FroesePauly2018",53,0.18,"spe-FAO","FroesePauly2018",40,"spe-LME","FroesePauly2018",11,"spe","FroesePauly2018"
"3069","Mullidae","Mullus","surmuletus","S","Mullus surmuletus",26,37,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.45,"spe","FroesePauly2018","fusiform","forked",1.38,"spe","FroesePauly2018",0.87,"spe","FroesePauly2018","non-guarder","Heessen2015",1.5,"spe-ocean","FroesePauly2019",20362,"gen","FroesePauly2018",29,0.26,"spe-FAO","FroesePauly2018",40,"spe-LME","FroesePauly2018",11,"spe","FroesePauly2018"
"3549","Osmeridae","Osmerus","eperlanus","S","Osmerus eperlanus",22,27,"pelagic","FroesePauly2018, OBIS2018","planktivorous","FroesePauly2018",3.46,"spe","FroesePauly2018","fusiform","forked",1.71,"spe","FroesePauly2018",0.95,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",27750,"spe-LME","FroesePauly2018",32,0.27,"spe-LME","FroesePauly2018",32,"spe-FAO","FroesePauly2018",10,"spe","FroesePauly2018"
"3550","Osmeridae","Osmerus","eperlanus","S","Osmerus eperlanus",24,27,"pelagic","FroesePauly2018, OBIS2018","planktivorous","FroesePauly2018",3.46,"spe","FroesePauly2018","fusiform","forked",1.71,"spe","FroesePauly2018",0.95,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2,"spe-ocean","FroesePauly2019",26938,"spe-ocean","FroesePauly2018",33,0.23,"spe-FAO","FroesePauly2018",32,"spe-FAO","FroesePauly2018",10,"spe","FroesePauly2018"
"4030","Pleuronectidae","Limanda","limanda","S","Limanda limanda",19,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.39,"spe","FroesePauly2018","flat","rounded",1.11,"spe","FroesePauly2018",1.2,"spe","Wiedmann2014","non-guarder","FroesePauly2018",2.6,"spe-ocean","FroesePauly2019",236000,"spe-LME","FroesePauly2018",31,0.29,"spe-FAO","FroesePauly2018",44,"spe-FAO","FroesePauly2018",12,"spe","FroesePauly2018"
"4031","Pleuronectidae","Limanda","limanda","S","Limanda limanda",20,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.39,"spe","FroesePauly2018","flat","rounded",1.11,"spe","FroesePauly2018",1.2,"spe","Wiedmann2014","non-guarder","FroesePauly2018",5,"spe-LME","Wiedmann2015",141000,"spe-LME","Wiedmann2014",31,0.29,"spe-FAO","FroesePauly2018",43,"spe-LME","Wiedmann2014",13,"spe","Wiedmann2014"
